UNITID,LPBOOKSP,LPMEDIAP,LPSERIAP,LEBOOKSP,LEDATABP,LEMEDIAP,LESERIAP,LSALWAGP,LFRNGBNP,LEXMSBBP,LEXMSCSP,LEXMSOTP,LEXOMTLP,LEXPTOTF,LTOTLFTE,LLIBRFTE,LPROFFTE,LPAIDFTE,LSTUDFTE
222053,8,0,0,61,0,24,7,62,25,3,5,1,4,187,11.50,4.00,1.00,6.31,0.19
222062,7,0,0,84,0,0,8,54,27,1,16,0,1,225,32.00,4.00,1.00,2.00,25.00
222178,17,4,2,57,0,16,5,50,0,3,23,19,5,617,31.50,12.50,6.00,7.00,6.00
222567,0,0,0,2,0,98,0,71,0,2,12,15,0,116,4.50,2.50,0.00,1.00,1.00
222576,40,0,0,60,0,0,0,76,0,3,18,3,0,86,6.50,4.00,1.50,0.00,1.00
222628,80,1,0,18,1,1,0,59,17,4,17,0,2,343,10.00,4.00,1.00,0.00,5.00
222822,3,0,0,39,0,7,51,76,0,0,20,0,4,109,7.00,3.00,0.00,2.00,2.00
222831,45,2,0,10,0,34,10,39,7,2,42,3,8,369,35.00,10.00,4.00,9.00,12.00
222877,97,1,1,0,0,0,0,,,,,,,,2.00,1.00,0.00,0.00,1.00
222938,4,1,0,73,0,16,7,,,,,,,,1.00,0.00,0.00,0.00,1.00
222983,3,0,0,6,0,89,2,48,0,1,43,0,8,704,18.00,4.00,0.00,4.00,10.00
222992,18,1,0,19,0,16,45,86,0,4,9,1,0,294,91.00,45.00,1.00,45.00,0.00
223001,15,2,0,75,0,0,7,48,22,13,9,0,9,6191,7.64,5.00,0.00,0.32,2.32
223083,6,1,1,20,0,1,69,53,0,0,45,0,2,383,2.50,1.50,1.00,0.00,0.00
223117,63,9,1,28,0,0,0,57,17,5,13,8,1,2184,3.00,1.00,0.00,1.00,1.00
223223,21,0,1,61,0,2,15,0,0,0,0,0,100,2054,30.75,12.50,8.00,10.25,0.00
223232,44,7,2,39,0,3,5,31,9,7,35,0,18,1244,148.82,31.70,43.88,43.73,29.51
223320,0,0,0,3,0,97,0,39,7,3,46,3,2,115,4.00,1.00,1.00,0.00,2.00
223427,2,0,0,20,0,78,0,56,20,4,14,0,5,154,27.00,8.00,2.00,12.00,5.00
223463,0,0,0,48,0,3,48,,,,,,,,,,,,
223472,97,2,0,0,0,0,0,,,,,,,,1.00,1.00,0.00,0.00,0.00
223506,11,3,0,86,0,0,0,52,5,5,28,0,10,354,9.00,4.00,3.00,0.00,2.00
223816,8,0,0,91,0,0,0,54,21,4,18,3,0,117,18.00,6.00,5.00,0.00,7.00
223898,4,1,0,89,0,6,0,70,0,3,25,0,2,139,6.00,2.00,4.00,0.00,0.00
223922,51,2,1,47,0,0,0,64,18,5,3,0,10,171,4.00,2.00,0.00,1.00,1.00
224004,0,0,0,49,0,0,51,45,0,1,52,1,1,154,3.75,2.00,0.00,0.25,1.50
224110,57,3,0,39,0,0,0,68,0,8,0,0,24,81,15.00,4.00,0.00,4.00,7.00
224147,16,5,1,53,0,19,7,40,8,2,33,2,15,775,56.19,15.00,13.00,22.50,5.69
224226,32,3,0,49,0,1,14,57,0,33,0,0,9,269,20.75,5.00,4.00,0.00,11.75
224244,50,1,0,44,0,0,5,,,,,,,,1.00,0.00,0.60,0.15,0.25
224271,91,4,0,0,5,0,0,52,0,0,37,11,0,152,3.00,0.00,3.00,0.00,0.00
224305,31,4,0,58,0,0,7,57,0,22,15,0,6,539,10.54,4.00,1.00,3.50,2.04
224323,20,0,0,29,0,1,50,45,0,1,43,4,7,801,21.00,9.00,0.00,4.00,8.00
224350,1,0,0,4,0,93,3,75,0,6,16,1,2,362,20.62,6.00,1.00,13.62,0.00
224527,10,0,0,71,0,9,9,42,9,2,34,1,13,483,12.60,3.00,0.00,2.60,7.00
224545,14,0,0,66,0,7,12,43,1,2,41,0,14,636,15.37,4.96,0.00,6.57,3.84
224554,13,1,0,61,0,9,15,29,9,2,46,2,12,363,22.54,10.50,3.00,4.00,5.04
224615,32,2,0,48,0,4,14,57,0,2,4,36,0,32,39.20,18.00,4.70,16.50,0.00
224642,1,0,0,6,0,92,1,81,0,8,7,0,4,217,52.00,11.00,0.00,41.00,0.00
224660,99,0,1,0,0,0,0,,,,,,,,2.00,1.00,1.00,0.00,0.00
224679,99,0,1,0,0,0,0,,,,,,,,2.00,1.00,0.00,1.00,0.00
224712,21,1,0,70,0,0,8,57,17,1,4,20,2,4901,5.80,3.00,0.00,1.50,1.30
224776,2,1,0,74,0,16,7,49,5,0,46,0,0,350,1.00,0.00,0.00,0.00,1.00
224891,0,0,0,1,0,98,0,62,0,4,13,7,15,96,1.00,1.00,0.00,0.00,0.00
224961,5,0,0,63,0,21,10,58,15,7,12,0,8,290,5.00,2.00,1.00,1.00,1.00
225070,10,1,0,89,0,0,0,54,12,4,21,0,9,190,7.00,3.00,1.00,3.00,0.00
225201,0,0,0,58,0,21,21,,,,,,,,1.00,1.00,0.00,0.00,0.00
225247,36,4,0,48,0,0,11,38,7,7,33,0,14,488,10.25,3.00,0.00,4.00,3.25
225308,21,1,0,35,0,44,0,58,0,13,20,0,9,226,19.00,3.00,0.00,6.00,10.00
225371,5,0,0,76,0,19,0,66,3,8,22,2,0,177,11.00,2.00,0.00,5.00,4.00
225399,12,1,0,36,0,0,52,46,10,3,38,1,1,215,9.00,4.00,2.00,1.00,2.00
225414,20,2,0,59,0,9,11,27,7,4,34,0,29,730,32.00,12.00,0.00,13.00,7.00
225423,37,1,0,48,0,8,5,84,0,3,9,0,4,196,93.50,47.00,1.00,41.00,4.50
225432,19,0,2,60,0,9,10,52,14,1,27,4,2,342,48.83,18.83,17.00,0.00,13.00
225502,25,1,0,28,0,16,31,54,12,2,21,0,11,454,28.03,8.90,0.00,11.12,8.01
225511,45,5,1,39,0,4,5,34,2,4,48,5,8,587,145.00,56.00,39.00,29.00,21.00
225520,84,14,0,2,1,0,0,82,0,5,10,0,3,171,9.50,3.00,2.00,3.00,1.50
225548,18,0,0,81,0,0,0,49,0,2,26,2,20,535,12.50,2.00,3.50,0.00,7.00
225575,12,0,0,61,0,14,12,59,14,13,13,0,0,435,9.00,4.00,0.00,2.00,3.00
225627,30,2,0,44,0,7,15,40,7,6,36,0,10,544,31.40,13.50,0.00,12.00,5.90
225876,0,0,0,2,0,98,0,,,,,,,,2.00,1.00,1.00,0.00,0.00
225885,23,0,0,77,0,0,0,62,11,4,10,2,11,335,4.00,2.00,0.00,2.00,0.00
225991,74,21,0,0,0,5,0,,,,,,,,1.00,1.00,0.00,0.00,0.00
226019,19,0,0,46,0,0,33,72,0,5,22,0,1,116,8.00,2.00,0.00,4.00,2.00
226091,57,2,1,9,0,25,6,34,10,10,37,1,8,234,28.90,7.65,3.40,8.50,9.35
226107,11,1,0,30,0,13,45,51,17,8,16,0,9,197,9.50,2.00,2.50,0.00,5.00
226116,13,1,0,86,0,0,0,52,16,2,17,7,5,249,8.00,2.00,1.00,1.00,4.00
226134,93,3,0,4,0,0,0,71,0,6,14,0,9,180,25.00,3.00,1.00,13.00,8.00
226152,21,0,1,57,0,12,9,38,0,3,53,0,6,340,43.50,7.00,14.00,1.50,21.00
226204,23,1,0,37,0,7,32,65,0,12,15,1,8,194,11.00,6.00,4.50,0.00,0.50
226231,2,0,0,44,0,2,51,50,0,4,31,9,6,168,6.50,2.00,0.00,1.50,3.00
226277,1,0,0,72,0,25,2,,,,,,,,2.00,0.00,2.00,0.00,0.00
226383,33,0,0,67,0,0,0,46,8,2,35,1,8,434,8.48,4.00,0.00,2.50,1.98
226408,0,0,0,4,0,95,0,76,0,7,9,0,7,276,9.07,3.00,1.00,3.95,1.12
226471,8,1,0,66,0,7,18,32,11,10,46,0,0,431,29.00,6.00,0.00,4.00,19.00
