UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
179715,344,490,70,327,0,0,327,223,68,64,1,0,63,27,43,19
179867,1970,2302,86,1801,1,0,1800,1729,96,3,0,0,3,2,67,7
179894,346,614,56,390,0,0,390,301,77,6,0,0,6,0,0,11
179946,214,228,94,177,0,0,177,138,78,,,,,,,11
179955,222,265,84,195,0,0,195,144,74,,,,,,,10
179964,122,241,51,158,0,0,158,109,69,7,0,0,7,2,29,10
179991,,,,24,0,0,24,21,88,,,,,,,19
180054,27,33,82,66,0,0,66,17,26,47,0,0,47,1,2,7
180063,,,,13,0,0,13,4,31,,,,,,,10
180081,103,396,26,132,0,0,132,72,55,2,0,0,2,1,50,13
180090,,,,31,0,0,31,29,94,,,,,,,21
180106,280,331,85,269,0,0,269,216,80,1,0,0,1,1,100,11
180151,122,294,41,124,1,0,123,71,58,8,0,0,8,3,38,13
180160,6,17,35,0,0,0,0,0,,0,0,0,0,0,,12
180179,473,1542,31,251,0,0,251,142,57,43,0,0,43,19,44,15
180197,213,572,37,240,0,0,240,121,50,92,0,0,92,39,42,11
180203,18,52,35,6,0,0,6,4,67,1,0,0,1,0,0,8
180212,43,157,27,45,0,0,45,17,38,12,0,0,12,6,50,13
180249,91,565,16,115,0,0,115,63,55,42,0,0,42,14,33,11
180258,96,242,40,78,0,0,78,45,58,0,0,0,0,0,,8
180276,132,931,14,94,0,0,94,58,62,44,0,0,44,15,34,17
180328,51,63,81,36,0,0,36,18,50,2,0,0,2,0,0,14
180373,115,343,34,121,0,0,121,80,66,22,0,0,22,7,32,12
180416,321,399,80,270,0,0,270,204,76,5,0,0,5,2,40,13
180461,3387,4818,70,2692,0,0,2692,2033,76,421,3,0,418,211,50,18
180489,1419,2371,60,940,0,0,940,709,75,38,0,0,38,15,39,15
180522,180,329,55,82,0,0,82,57,70,1,0,0,1,0,0,14
180595,219,265,83,235,1,0,234,141,60,0,0,0,0,0,,12
180647,57,121,47,28,0,0,28,17,61,5,0,0,5,2,40,6
180692,223,451,49,151,0,0,151,110,73,1,0,0,1,0,0,14
