UNITID,EFDELEV,EFDETOT,EFDEEXC,EFDESOM,EFDENON,EFDEEX1,EFDEEX2,EFDEEX3,EFDEEX4,EFDEEX5
126119,1,5243,0,4153,1090,,,,,
126164,1,53,,,53,,,,,
126182,1,3138,1116,650,1372,493,622,0,1,0
126207,1,6940,1491,1552,3897,1471,15,1,0,4
126289,1,11897,2524,1962,7411,2248,270,2,4,0
126359,1,217,,,217,,,,,
126562,1,24267,5145,8659,10463,4131,929,5,79,1
126580,1,12031,1595,4485,5951,1406,183,3,3,0
126605,1,316,,,316,,,,,
126614,1,39000,4180,24299,10521,2190,1643,2,345,0
126669,1,8472,4417,310,3745,1274,3124,2,17,0
126678,1,2266,0,33,2233,,,,,
126687,1,781,0,781,0,,,,,
126711,1,5134,501,891,3742,487,14,0,0,0
126748,1,1150,146,142,862,136,10,0,0,0
126775,1,7187,236,683,6268,75,92,0,69,0
126784,1,149,,,149,,,,,
126818,1,32586,4213,12180,16193,2037,1923,96,157,0
126827,1,24015,23962,26,27,2392,21512,0,58,0
126863,1,7839,1024,717,6098,966,19,38,1,0
126915,1,205,0,29,176,,,,,
126942,1,7091,2386,1763,2942,2306,77,0,1,2
126951,1,1292,,,1292,,,,,
126979,1,899,260,290,349,103,153,0,4,0
127060,1,14130,3512,2198,8420,1130,2312,38,32,0
127158,1,5086,0,18,5068,,,,,
127185,1,3567,161,1249,2157,87,74,0,0,0
127200,1,18537,3737,2355,12445,3608,124,0,5,0
127273,1,197,13,56,128,3,10,0,0,0
127316,1,228,,,228,,,,,
127389,1,696,61,74,561,54,7,0,0,0
127556,1,8907,675,3172,5060,555,116,0,4,0
127565,1,17678,3824,8148,5706,3695,105,0,0,24
127617,1,1365,361,340,664,354,7,0,0,0
127653,1,964,43,237,684,11,30,0,2,0
127714,1,588,588,,,21,552,0,15,0
127732,1,1392,111,302,979,104,7,0,0,0
127741,1,10348,1837,3583,4928,1197,615,5,20,0
127778,1,1151,93,272,786,90,3,0,0,0
127820,1,11845,3383,2693,5769,3221,147,0,14,1
127884,1,5938,1146,833,3959,1104,42,0,0,0
127909,1,6035,1714,1310,3011,1683,29,0,2,0
127918,1,5566,1556,2010,2000,967,493,0,96,0
127945,1,1849,1259,589,1,248,1006,0,5,0
127954,1,38,,,38,,,,,
128106,1,6110,1143,2048,2919,380,752,4,3,4
128151,1,926,,,926,,,,,
128179,1,672,,,672,,,,,
128188,1,787,,,787,,,,,
128258,1,1500,105,115,1280,99,6,0,0,0
128328,1,4181,,,4181,,,,,
128337,1,84,,,84,,,,,
128391,1,3689,774,470,2445,693,77,0,0,4
128498,1,1328,440,281,607,407,29,0,4,0
128577,1,1220,291,358,571,254,37,0,0,0
128586,1,40,,,40,,,,,
128744,1,3563,1006,1056,1501,620,374,0,12,0
128771,1,9653,362,2064,7227,318,44,0,0,0
128780,1,1618,1618,,,1402,210,0,6,0
128896,1,158,,,158,,,,,
128902,1,1829,0,0,1829,,,,,
129002,1,318,2,204,112,2,0,0,0,0
129020,1,26876,1540,11648,13688,1008,405,0,127,0
129154,1,3258,1454,914,890,1327,125,2,0,0
129181,1,1170,0,0,1170,,,,,
129215,1,4319,46,282,3991,44,2,0,0,0
129242,1,5826,261,1509,4056,174,85,0,2,0
129349,1,180,,,180,,,,,
129367,1,2474,911,991,572,903,8,0,0,0
129428,1,105,105,,,48,56,0,1,0
129482,1,407,0,321,86,,,,,
129491,1,112,73,26,13,17,51,2,3,0
129525,1,5917,1149,334,4434,680,420,12,37,0
129534,1,695,594,78,23,29,448,85,11,21
129543,1,3604,1812,1080,712,1806,6,0,0,0
129695,1,4494,2934,1145,415,2916,16,2,0,0
129729,1,4673,1574,1767,1332,1567,7,0,0,0
129756,1,1988,386,1219,383,378,8,0,0,0
129774,1,526,1,74,451,0,1,0,0,0
129808,1,3019,1126,1134,759,1092,29,5,0,0
129923,1,568,0,0,568,,,,,
129932,1,323,,,323,,,,,
129941,1,7513,872,4526,2115,390,458,23,1,0
130004,1,4106,883,1601,1622,853,29,0,0,1
130040,1,1128,370,495,263,363,6,1,0,0
130110,1,213,0,17,196,,,,,
130174,1,1633,79,865,689,59,20,0,0,0
130183,1,14052,13026,463,563,1952,11033,0,37,4
130217,1,1118,438,362,318,425,13,0,0,0
130226,1,9217,774,4129,4314,405,365,0,4,0
130253,1,9785,1303,2774,5708,808,491,0,4,0
130314,1,2132,193,442,1497,63,128,0,2,0
130396,1,5703,3525,1398,780,3500,25,0,0,0
130493,1,8788,1072,4172,3544,1017,30,0,12,13
130509,1,566,,,566,,,,,
130590,1,2190,,,2190,,,,,
