UNITID,EFCSTATE,LINE,EFRES01,EFRES02
110486,4,4,8,8
110495,4,4,2,2
110510,4,4,3,3
110529,4,4,1,1
110538,4,4,2,2
110547,4,4,1,1
110556,4,4,8,8
110565,4,4,3,3
110574,4,4,1,1
110583,4,4,3,3
110592,4,4,2,2
110608,4,4,3,2
110617,4,4,6,5
110635,4,4,37,37
110644,4,4,8,8
110653,4,4,20,20
110662,4,4,39,38
110671,4,4,3,3
110680,4,4,55,54
110705,4,4,13,12
110714,4,4,3,3
111188,4,4,1,1
111896,4,4,2,1
111948,4,4,25,25
112075,4,4,12,11
112260,4,4,1,1
112385,4,4,1,1
113236,4,4,1,0
113333,4,4,1,0
113573,4,4,3,2
113698,4,4,4,0
114354,4,4,13,7
114433,4,4,1,1
114716,4,4,1,0
114859,4,4,2,0
115126,4,4,2,1
115755,4,4,1,1
117195,4,4,3,1
117751,4,4,17,0
117946,4,4,18,18
119137,4,4,2,0
119164,4,4,1,1
120254,4,4,7,7
120342,4,4,9,4
120865,4,4,2,2
120883,4,4,3,3
121150,4,4,27,27
121309,4,4,16,16
122339,4,4,2,2
122375,4,4,2,1
122409,4,4,72,72
122436,4,4,47,45
122597,4,4,2,2
122612,4,4,8,8
122746,4,4,1,0
122755,4,4,3,3
122931,4,4,29,28
123165,4,4,3,3
123457,4,4,1,1
123484,4,4,3,2
123554,4,4,2,2
123572,4,4,2,2
123961,4,4,45,44
125028,4,4,3,2
125727,4,4,7,7
126182,4,4,11,11
126359,4,4,1,0
126562,4,4,9,7
126580,4,4,7,6
126614,4,4,37,35
126775,4,4,18,18
126818,4,4,50,45
126827,4,4,30,4
126951,4,4,2,2
127060,4,4,17,13
127185,4,4,138,108
127200,4,4,2,1
127389,4,4,2,2
127556,4,4,12,11
127565,4,4,6,6
127653,4,4,1,0
127732,4,4,1,0
127741,4,4,14,14
127820,4,4,1,0
127884,4,4,1,0
128106,4,4,12,12
128258,4,4,3,3
128391,4,4,5,3
128744,4,4,4,4
128771,4,4,2,2
128902,4,4,1,0
129020,4,4,3,2
129215,4,4,1,0
129525,4,4,1,1
129941,4,4,2,2
130183,4,4,39,1
130590,4,4,1,1
130624,4,4,4,4
130697,4,4,5,5
130794,4,4,20,20
130934,4,4,1,1
130943,4,4,2,1
131113,4,4,15,1
131399,4,4,1,0
131450,4,4,1,0
131469,4,4,21,21
131496,4,4,13,13
131520,4,4,12,12
132602,4,4,1,1
132903,4,4,2,2
133492,4,4,7,6
133553,4,4,9,8
133650,4,4,3,1
133711,4,4,2,2
133809,4,4,4,4
133881,4,4,2,2
134097,4,4,3,3
134130,4,4,8,7
135188,4,4,2,2
135726,4,4,5,5
136330,4,4,3,3
137078,4,4,1,1
137209,4,4,3,1
137351,4,4,6,4
137564,4,4,5,5
138309,4,4,1,0
138716,4,4,1,1
138947,4,4,9,9
139144,4,4,1,1
139250,4,4,3,3
139658,4,4,8,8
139755,4,4,9,9
139940,4,4,2,1
139959,4,4,4,4
140012,4,4,1,0
140818,4,4,1,1
140951,4,4,13,11
140988,4,4,1,1
141060,4,4,2,1
141334,4,4,1,1
141565,4,4,4,4
141574,4,4,48,47
141680,4,4,2,2
141811,4,4,1,1
142115,4,4,20,19
142276,4,4,2,2
142285,4,4,4,3
142294,4,4,2,2
142443,4,4,3,3
142461,4,4,2,2
143084,4,4,1,1
143118,4,4,12,12
143279,4,4,1,1
143358,4,4,4,3
144281,4,4,13,13
144351,4,4,9,9
144740,4,4,6,6
144865,4,4,1,0
144892,4,4,2,2
144971,4,4,1,1
145600,4,4,1,1
145619,4,4,53,49
145637,4,4,14,14
145691,4,4,1,0
145813,4,4,4,3
146339,4,4,1,1
146427,4,4,4,4
146481,4,4,18,18
146612,4,4,2,1
146676,4,4,1,1
146719,4,4,8,8
147004,4,4,1,0
147013,4,4,1,1
147244,4,4,1,1
147369,4,4,1,0
147536,4,4,2,0
147660,4,4,2,2
147679,4,4,1,1
