UNITID,FACSTAT,SISTOTL,SISPROF,SISASCP,SISASTP,SISINST,SISLECT,SISNORK
131159,0,853,206,171,118,358,0,0
131283,0,334,104,128,94,8,0,0
131399,0,227,47,68,93,19,0,0
131405,0,25,3,3,14,2,0,3
131450,0,180,61,34,42,11,29,3
131469,0,1295,445,406,269,2,0,173
131496,0,1305,459,236,131,0,0,479
131520,0,955,214,274,271,64,132,0
131803,0,182,167,0,0,0,0,15
131876,0,56,1,21,29,0,0,5
131973,0,17,12,2,3,0,0,0
132408,0,20,8,6,4,2,0,0
132471,0,272,75,91,87,19,0,0
132602,0,140,22,30,63,25,0,0
132657,0,133,35,49,39,6,1,3
132693,0,236,64,52,40,80,0,0
132709,0,349,51,149,121,28,0,0
132842,0,23,2,8,13,0,0,0
132851,0,115,10,31,16,5,0,53
132879,0,11,6,2,3,0,0,0
132903,0,1574,375,397,264,221,317,0
133021,0,41,7,1,15,18,0,0
133386,0,223,117,52,41,10,0,3
133465,0,18,0,0,11,7,0,0
133492,0,173,43,37,70,23,0,0
133508,0,194,0,0,0,0,0,194
133526,0,46,11,9,17,9,0,0
133553,0,369,100,99,152,18,0,0
133650,0,558,138,143,146,87,0,44
133669,0,857,229,251,145,229,0,3
133702,0,327,0,0,0,0,0,327
133711,0,134,23,43,46,3,18,1
133809,0,45,16,7,22,0,0,0
133845,0,21,0,0,0,21,0,0
133854,0,10,0,0,0,10,0,0
133863,0,12,0,0,0,12,0,0
133872,0,93,13,26,39,15,0,0
133881,0,254,67,66,98,23,0,0
133951,0,1417,322,355,278,417,13,32
133960,0,25,5,5,7,3,0,5
133979,0,40,4,13,18,5,0,0
133997,0,4,0,0,0,0,0,4
134079,0,163,21,58,59,25,0,0
134097,0,1644,516,388,328,0,0,412
134130,0,3063,1082,617,755,0,513,96
134237,0,752,470,134,0,0,0,148
134343,0,133,27,26,25,10,0,45
134495,0,312,55,53,112,85,0,7
134510,0,7,0,0,0,7,0,0
134608,0,208,46,37,55,66,0,4
134811,0,11,0,0,0,11,0,0
134945,0,224,60,50,95,19,0,0
135081,0,1254,0,0,0,1254,0,0
135160,0,74,0,0,0,0,0,74
135188,0,60,3,6,24,27,0,0
135364,0,20,4,7,9,0,0,0
135391,0,139,44,23,30,15,6,21
135717,0,703,185,262,151,105,0,0
135726,0,1485,613,348,226,1,297,0
136145,0,26,0,0,0,0,0,26
136172,0,573,112,158,127,143,33,0
136215,0,848,203,228,364,44,3,6
136233,0,80,22,0,7,0,0,51
136330,0,160,43,60,44,13,0,0
136358,0,307,56,32,79,140,0,0
136400,0,129,27,25,38,36,0,3
136473,0,147,38,14,33,47,12,3
136516,0,150,0,0,0,0,0,150
136701,0,15,5,3,7,0,0,0
136774,0,125,0,0,0,0,0,125
136950,0,217,74,61,26,30,26,0
137032,0,110,18,40,35,14,3,0
137078,0,322,0,0,0,0,0,322
137096,0,251,0,0,0,0,0,251
137209,0,202,0,0,0,0,0,202
137272,0,10,6,0,0,2,0,2
137281,0,127,21,0,0,80,0,26
137315,0,63,0,0,0,63,0,0
137351,0,2168,492,532,497,610,0,37
137476,0,81,24,19,24,12,1,1
137546,0,263,95,73,90,1,3,1
137564,0,119,39,42,31,5,2,0
137759,0,212,73,39,56,1,0,43
137777,0,8,7,0,0,0,0,1
137847,0,449,53,151,210,3,32,0
137953,0,15,6,4,5,0,0,0
137962,0,8,2,2,4,0,0,0
138187,0,638,0,0,0,0,0,638
138275,0,34,5,10,15,4,0,0
138293,0,28,4,7,17,0,0,0
138309,0,147,0,0,0,147,0,0
138354,0,320,82,79,85,41,33,0
138558,0,128,30,36,41,4,17,0
138600,0,93,37,23,10,22,0,1
138655,0,5,0,0,0,5,0,0
138682,0,74,0,0,0,69,0,5
138716,0,206,39,47,72,34,12,2
138761,0,27,1,7,16,3,0,0
138813,0,7,0,0,0,7,0,0
138840,0,92,0,0,0,92,0,0
