UNITID,CDACTUA,CNACTUA,CDACTGA,EFTEUG,EFTEGD,FTEUG,FTEGD,FTEDPP,ACTTYPE
494162,6242,,,208,,208,,,2
494232,,64299,,71,,71,,,1
494250,16546,,,552,,552,,,2
494278,6559,,,219,,219,,,2
494287,10705,,,357,,357,,,2
494357,39744,,,1325,,1325,,,2
494436,13110,,,437,,437,,,2
494463,9930,,,331,,331,,,2
494472,,17635,,20,,20,,,1
494524,,113800,,126,,126,,,1
494551,,,522,,22,,22,,-2
494588,10749,18040,,378,,378,,,3
494597,2295,592,360,77,15,77,15,,3
494603,5477,,28599,183,1192,183,1192,,2
494621,478,60975,0,84,0,84,0,,3
494630,1119,,,37,,37,,,2
494649,,34904,,39,,39,,,1
494658,,35685,,40,,40,,,1
494685,12377,,,413,,413,,,2
494694,,68731,,76,,76,,,1
494700,,49648,,55,,55,,,1
494719,,49159,,55,,55,,,1
494728,,49412,,55,,55,,,1
494737,5250,,,175,,175,,,2
494746,8554,46099,,336,,336,,,3
494755,1743,34254,,77,,77,,,3
494764,9630,,,321,,321,,,2
494807,1833,,4662,61,194,61,194,353,2
494843,27630,,,921,,921,,,2
494852,32550,,,723,,723,,,2
494898,4359,,,145,,145,,,2
494904,,251359,,279,,279,,,1
494959,1184,,,39,,39,,,2
494977,,22100,,25,,25,,,1
494986,2560,,,57,,57,,,2
494995,,20385,,23,,20,,,1
495013,,101161,,112,,112,,,1
495031,2430,,,81,,81,,,2
495040,,60125,,67,,67,,,1
495059,1996,,,67,,67,,,2
495077,,42640,,47,,47,,,1
495101,,38182,,42,,42,,,1
495110,732,,,24,,18,,,2
495129,,69568,,77,,77,,,1
495138,,11457,,13,,13,,,1
495147,429,,,14,,14,,,2
495165,,26500,,29,,29,,,1
495174,,26490,,29,,29,,,1
495183,3234,47040,,160,,160,,,3
495192,,,9367,,390,,390,,-2
495208,,28816,,32,,32,,,1
495217,,41180,,46,,55,,,1
495226,,4950,,6,,6,,,1
495235,,10800,,12,,12,,,1
495244,,17945,,20,,20,,,1
495253,,30001,,33,,33,,,1
495262,,25502,,28,,28,,,1
495271,521,,,17,,17,,,2
495280,576,,,19,,19,,,2
495299,,28670,,32,,32,,,1
495305,,72785,,81,,81,,,1
495314,,,,,,,,407,-2
495341,,60081,,67,,67,,,1
495350,,42420,,47,,47,,,1
495369,,73475,,82,,82,,,1
495378,,70674,,79,,79,,,1
495387,,21400,,24,,24,,,1
495396,,14375,,16,,16,,,1
495411,,98205,,109,,109,,,1
495420,8064,,,269,,269,,,2
495439,7807,,,260,,260,,,2
495448,15933,,,531,,531,,,2
495457,15613,,,520,,520,,,2
495518,,66581,,74,,74,,,1
495730,,81728,,91,,91,,,1
495776,,46504,,52,,52,,,1
495794,,238381,,265,,265,,,1
495837,5076,31498,,148,,148,,,3
495916,255,,,9,,9,,,2
495925,2213,,,74,,74,,,2
495934,2838,,,95,,95,,,2
495943,1222,,,41,,41,,,2
495952,4400,,,147,,147,,,2
495961,3928,,,131,,131,,,2
495970,,456500,,507,,507,,,1
495998,2321,,,77,,77,,,2
496043,,,1920,,80,,60,414,-2
496052,,29127,,32,,32,,,1
496061,,203021,,226,,226,,,1
496186,6949,300,,232,,232,,,3
496265,2670,,,89,,89,,,2
496283,4164,,208,139,9,139,8,,2
496326,5919,,539,197,22,197,20,,2
496371,,11408,,13,,13,,,1
496399,1970,,,44,,44,,,2
496469,,,5056,,140,,140,,-2
496478,,63544,,71,,71,,,1
496511,,8400,,9,,9,,,1
496520,,26296,,29,,29,,,1
496539,,62015,,69,,69,,,1
496593,,242352,,269,,269,,,1
496618,,68160,,76,,76,,,1
496627,6477,,826,216,34,216,34,868,2
496636,2761,1801,,94,,94,,,3
496645,,86300,,96,,96,,,1
496654,,26000,,29,,29,,,1
496663,,30000,,33,,33,,,1
496672,,43627,,48,,48,,,1
496681,312,90875,,111,,111,,,3
496690,,24801,,28,,28,,,1
496706,662,162100,79,202,3,202,3,,3
496715,,38102,,42,,42,,,1
496724,,32800,,36,,36,,,1
496733,,93610,,104,,104,,,1
496751,,34000,,38,,38,,,1
496894,,24900,,28,,32,,,1
496919,39768,,,1326,,1326,,,2
496955,20088,,,670,,670,,,2
496964,,10400,,12,,10,,,1
496973,3056,,0,102,0,102,0,,2
496991,8921,,,297,,297,,,2
497000,8974,,,299,,299,,,2
497037,15990,,,533,,533,,,2
497046,68328,,,2278,,2278,,,2
497073,,319009,,354,,453,,,1
497107,762,,798,25,33,36,38,,2
497116,7697,32064,,207,,207,,,3
497125,2462,,,55,,55,,,2
497161,562,42160,,66,,66,,,3
497189,,21056,,23,,23,,,1
497198,,155517,,173,,173,,,1
497204,,41899,,47,,42,,,1
497213,542,,,18,,18,,,2
497222,,21341,,24,,24,,,1
497268,6293,,,210,,210,,,2
497277,17890,47000,,649,,649,,,3
497286,1033,,,34,,34,,,2
497301,,261470,,291,,291,,,1
497310,,128514,,143,,143,,,1
497329,5263,,,175,,175,,,2
497338,1263,37706,,84,,84,,,3
497356,,23957,,27,,27,,,1
497365,,13306,,15,,15,,,1
497374,,52600,,58,,54,,,1
497383,,38503,,43,,43,,,1
497392,,53804,,60,,60,,,1
497408,990,,,33,,33,,,2
497417,,5016,,6,,6,,,1
497426,,93122,,103,,103,,,1
497435,,53715,,60,,60,,,1
497444,,17915,,20,,20,,,1
497453,12,,48,0,2,0,2,,2
497462,4466,,600,149,25,149,25,,2
497471,,11900,,13,,13,,,1
497480,8946,,1404,298,59,298,59,,2
497499,,14620,,16,,16,,,1
497666,,,708,,30,,30,,-2
497675,,26785,,30,,30,,,1
497684,,50933,,57,,57,,,1
497718,,,742,,31,,31,,-2
497736,2250,,,75,,75,,,2
497745,1313,,,44,,44,,,2
