UNITID,SANIN01,SANIT01,SANIN02,SANIT02,SANIN03,SANIT03,SANIN04,SANIT04,SANIN05,SANIT05,SANIN06,SANIT06,SANIN07,SANIT07,SANIN08,SANIT08,SANIN09,SANIT09,SANIN10,SANIT10,SANIN11,SANIT11,SANIN12,SANIT12,SANIN13,SANIT13,SANIN14,SANIT14
151290,230,14273390,0,0,0,0,77,4256288,34,4071485,22,1255464,8,572540,36,1827460,0,0,4,156091,0,0,41,1774619,8,359443,0,0
151306,569,26661416,0,0,0,0,49,2238728,112,8544896,46,2441489,60,3402532,61,3097167,0,0,77,2102198,0,0,130,3603877,28,1034456,6,196073
151324,930,46958952,0,0,0,0,67,3396169,126,12315097,54,3080189,85,4538857,179,9105406,11,557556,155,4968840,2,82466,203,7066258,41,1542798,7,305316
151333,154,8285003,0,0,0,0,7,390535,25,2791970,6,338133,13,686694,25,1152621,0,0,32,1119872,0,0,40,1507384,6,297794,0,0
151342,262,13774416,0,0,0,0,14,743679,37,3947488,27,1435662,18,966133,46,2126591,0,0,51,2042805,0,0,58,1976458,11,535600,0,0
151351,6376,399146975,486,30737685,0,0,264,16525470,238,45520532,660,45562371,1112,77794965,1093,75996630,65,4712208,745,27267986,32,1560395,1188,47430039,309,16448831,184,9589863
151360,209,12173641,1,53760,0,0,10,578942,34,3982161,21,1319444,14,867893,32,1489007,0,0,33,1348431,0,0,60,2310133,4,223870,0,0
151379,214,10980072,0,0,0,0,12,681942,23,2554382,16,676754,17,1039822,45,2117763,0,0,30,1241426,0,0,63,2294202,8,373781,0,0
151388,175,9572190,0,0,0,0,22,1102411,24,2871457,12,598139,13,634171,44,2024921,0,0,20,795572,0,0,37,1399420,3,146099,0,0
151467,14,787548,0,0,0,0,1,23040,4,240956,2,81965,0,0,0,0,0,0,0,0,4,319140,3,122447,0,0,0,0
151661,51,3138236,0,0,0,0,3,147603,34,2377431,0,0,0,0,0,0,0,0,1,83868,0,0,13,529334,0,0,0,0
151777,202,10548939,0,0,0,0,18,937845,33,3624816,18,905000,16,823506,45,1773978,1,51025,30,906562,0,0,31,1140514,9,350845,1,34848
151786,306,20823274,0,0,2,119265,28,1862696,140,11865393,16,912227,24,1486540,57,2869551,3,200000,10,464935,0,0,26,1042667,0,0,0,0
151801,796,38874494,0,0,0,0,126,6056513,295,17898638,37,1821762,47,2377366,33,1791277,7,278557,60,1700871,4,191798,159,5652097,26,1001785,2,103830
151810,31,2072010,0,0,0,0,3,163000,18,1459450,3,171000,0,0,0,0,0,0,3,97920,0,0,4,180640,0,0,0,0
151865,26,1513027,0,0,0,0,2,108132,5,396891,4,262700,1,61493,5,258055,0,0,0,0,1,51429,6,273772,2,100555,0,0
151962,6,315000,0,0,0,0,0,0,1,90000,1,65000,0,0,0,0,0,0,0,0,0,0,4,160000,0,0,0,0
152080,4467,321586137,279,18286198,0,0,233,16220445,588,75654698,879,71100167,550,38637730,362,35636181,40,3329894,1059,41788949,3,188809,449,18995192,10,937773,15,810101
152099,141,6105695,0,0,0,0,70,3063953,23,1578166,7,219986,3,106496,17,605540,1,40378,0,0,1,22490,8,210496,11,258190,0,0
152318,314,20186792,0,0,0,0,10,621977,89,8827834,7,455654,46,3162954,27,1683358,3,160664,63,2295773,1,53040,47,1879922,17,849306,4,196310
152336,149,7951329,0,0,0,0,36,1547847,30,2967901,15,734938,2,85462,25,1121045,0,0,6,159210,0,0,25,931807,6,290581,4,112538
152381,105,5241486,0,0,0,0,16,653102,25,2152951,19,834879,4,225054,12,497183,0,0,16,435521,0,0,8,282410,5,160386,0,0
152390,230,11726143,0,0,0,0,22,1159252,38,3677522,27,1550562,14,798332,26,1075817,4,175420,48,1343139,0,0,42,1526094,9,420005,0,0
152451,24,1319804,0,0,0,0,3,192628,12,732911,0,0,0,0,0,0,0,0,0,0,0,0,9,394265,0,0,0,0
152530,241,11723752,0,0,0,0,9,552995,27,2796965,22,1291238,22,1092655,39,1705370,5,219963,34,963350,0,0,72,2673161,11,428055,0,0
152567,266,14099724,0,0,0,0,3,172950,41,4060118,6,306525,11,761032,0,0,0,0,132,6065138,18,972430,0,0,55,1761531,0,0
152600,384,21283802,0,0,0,0,16,753231,116,9751876,13,681842,25,1283021,46,2655684,10,440700,72,2461486,0,0,71,2647895,15,608067,0,0
152637,524,24676506,0,0,0,0,18,1117399,112,8841372,11,578322,26,1352979,37,1344524,3,253930,55,1572586,0,0,231,8448393,30,1104627,1,62374
